kitsu_id,author_name,author_role
26004,Kouhei Horikoshi,Scénario & Dessin
7176,Sui Ishida,Scénario & Dessin
38,Eiichiro Oda,Scénario & Dessin
14916,Hajime Isayama,Scénario & Dessin
24147,Yusuke Murata,Dessin
24147,ONE,Scénario
57,Takeshi Obata,Dessin
57,Tsugumi Ohba,Scénario
37280,Koyoharu Gotouge,Scénario & Dessin
19682,Yuusei Matsui,Scénario & Dessin
16554,Yoshitoki Ooima,Scénario & Dessin
26401,Sui Ishida,Scénario & Dessin
68,Yoshihiro Togashi,Scénario & Dessin
24208,Nakaba Suzuki,Scénario & Dessin
40815,Akutami Gege,Scénario & Dessin
12619,Haruichi Furudate,Scénario & Dessin
20055,Masashi Kishimoto,Scénario & Dessin
20055,Akira Higashiyama,Scénario
38482,Makoto Shinkai,Scénario
38482,Ranmaru Kotone,Dessin
8,Kentarou Miura,Scénario & Dessin
66,Hiromu Arakawa,Scénario & Dessin
38047,Posuka Demizu,Dessin
38047,Kaiu Shirai,Scénario
8549,Yana Toboso,Scénario & Dessin
1554,Shun Saeki,Dessin
1554,Yuuto Tsukuda,Scénario
1554,Yuki Morisaki,Scénario
26178,Sui Ishida,Dessin
26178,Shin Towada,Scénario
22352,Daisuke Hagiwara,Dessin
22352,HERO,Scénario
26002,Hiro Mashima,Scénario & Dessin
35,Masashi Kishimoto,Scénario & Dessin
17204,Adachitoka,Scénario & Dessin
111,Akira Toriyama,Scénario & Dessin
6182,Hiro Fujiwara,Scénario & Dessin
9964,Inio Asano,Scénario & Dessin
36702,Masashi Kishimoto,Dessin
36702,Takashi Yano,Scénario
36702,Shin Towada,Scénario
40121,Iro Aida,Scénario & Dessin
37141,Yunji Lee,Scénario & Dessin
5927,Yuu Kamiya,Scénario & Dessin
6157,Yoshitoki Ooima,Scénario & Dessin
35896,Aka Akasaka,Scénario & Dessin
37,Tite Kubo,Scénario & Dessin
24155,Kazue Katou,Scénario & Dessin
1482,Takehiko Inoue,Scénario & Dessin
1482,Eiji Yoshikawa,Scénario
16640,Julietta Suzuki,Scénario & Dessin
16550,Io Sakisaka,Scénario & Dessin
1456,Makoto Yukimura,Scénario & Dessin
38138,Kouhei Horikoshi,Dessin
38138,Anri Takahashi,Scénario
78,Bisco Hatori,Scénario & Dessin
1361,Hiro Mashima,Scénario & Dessin
40278,Ken Wakui,Scénario & Dessin
25358,ONE,Scénario & Dessin
10022,Hiromu Arakawa,Dessin
10022,Makoto Inoue,Scénario
38860,Riichiro Inagaki,Scénario
38860,Boichi,Dessin
27175,Sou Yayoi,Scénario & Dessin
35483,Taiki Kawakami,Dessin
35483,Fuse,Scénario
12,Naoki Urasawa,Scénario & Dessin
37855,Tomohito Oda,Scénario & Dessin
3625,Hirohiko Araki,Scénario & Dessin
36095,Fujita,Scénario & Dessin
16529,Naoshi Arakawa,Scénario & Dessin
4,Naoki Urasawa,Scénario & Dessin
11152,Mizuho Kusanagi,Scénario & Dessin
26168,Hiro Mashima,Dessin
26168,Miu Kawasaki,Scénario
24407,Robico,Scénario & Dessin
25356,Kore Yamazaki,Scénario & Dessin
27527,Yuuki Tabata,Scénario & Dessin
25108,Shinobu Ohtaka,Scénario & Dessin
8777,Kazuma Kondou,Scénario & Dessin
8777,Jinsei Kataoka,Scénario & Dessin
9855,Sorata Akizuki,Scénario & Dessin
1329,Norihiro Yagi,Scénario & Dessin
13243,Ichigo Takano,Scénario & Dessin
983,Junji Ito,Scénario & Dessin
906,Hitoshi Iwaaki,Scénario & Dessin
6490,Jun Mochizuki,Scénario & Dessin
2811,Naoshi Komi,Scénario & Dessin
1282,Hiroya Oku,Scénario & Dessin
18205,Takuma Yokota,Dessin
18205,Katsura Ise,Scénario
1984,Atsushi Ookubo,Scénario & Dessin
27324,Natsuki Kizu,Scénario & Dessin
7375,Karuho Shiina,Scénario & Dessin
19217,Takeshi Obata,Dessin
19217,Tsugumi Ohba,Scénario
11777,Miki Yoshikawa,Scénario & Dessin
38449,Akihito Tsukushi,Scénario & Dessin
40439,Shouichi Taguchi,Dessin
40439,Sugaru Miaki,Scénario
10979,Kyousuke Motomi,Scénario & Dessin
30463,Kenji Inoue,Scénario
30463,Kimitake Yoshioka,Dessin
20582,Mamoru Hosoda,Scénario
20582,Yuu,Dessin
17413,Jin-Hwan Park,Dessin
17413,Geuk-jin Jeon,Scénario
18123,Tetsuya Tashiro,Dessin
18123,Takahiro,Scénario
2435,Q Hayashida,Scénario & Dessin
133,Takehiko Inoue,Scénario & Dessin
40324,774,Scénario & Dessin
25524,Kyu Aiya,Dessin
25524,Yusagi Aneko,Scénario
3480,Yasuhisa Hara,Scénario & Dessin
16084,Kafka Asagiri,Scénario
16084,Harukawa35,Dessin
64,Katsura Hoshino,Scénario & Dessin
22926,Izumi Tsubaki,Scénario & Dessin
16462,Suzuhito Yasuda,Dessin
16462,Fujino Omori,Scénario
26852,Kugane Maruyama,Scénario
26852,so-bin,Dessin
23702,Yamato Yamamoto,Dessin
23702,Takaya Kagami,Scénario
23702,Daisuke Furuya,Scénario
25541,Yuka Fujikawa,Dessin
25541,Rifujin na Magonote,Scénario
1388,Yoshiki Nakamura,Scénario & Dessin
49863,Tsubasa Yamaguchi,Scénario & Dessin
40005,Reiji Miyajima,Scénario & Dessin
18471,Isuna Hasekura,Scénario
18471,Juu Ayakura,Dessin
26776,Tappei Nagatsuki,Scénario
26776,Shinichirou Ootsuka,Dessin
14180,Takemaru Inui,Scénario & Dessin
37781,Kousuke Kurose,Dessin
37781,Kumo Kagyuu,Scénario
40927,Yuuichi Katou,Scénario & Dessin
51379,Takumi Fukui,Scénario
51379,Shinya Umemura,Scénario
51379,Ajichika,Dessin
23,George Morikawa,Scénario & Dessin
36487,Yusagi Aneko,Scénario
36487,Seira Minami,Dessin
35736,Mizuho Kusanagi,Dessin
35736,Touko Fujitani,Scénario
37173,Asahiro Kakashi,Dessin
37173,Okina Baba,Scénario
21550,Kaoru Mori,Scénario & Dessin
2704,Chika Umino,Scénario & Dessin
26233,Tooru Naomura,Dessin
26233,Homura Kawamoto,Scénario
1484,Takehiko Inoue,Scénario & Dessin
17631,Kohske,Scénario & Dessin
38865,Kamome Shirahama,Scénario & Dessin
37711,Ryou Shirakome,Scénario
37711,RoGa,Dessin
26623,Touta Kitakawa,Dessin
26623,Mikoto Yamaguchi,Scénario
35985,Akira Toriyama,Scénario
35985,Toyotarou,Dessin
32875,Cool-kyou Shinja,Scénario & Dessin
40299,Rui Tsukiyo,Scénario
40299,Souken Haga,Dessin
2299,Gosho Aoyama,Scénario & Dessin
20310,Shungiku Nakamura,Scénario & Dessin
25426,Haruyoshi Kobayakawa,Dessin
25426,Kogitsune Kanekiru,Scénario
22206,Nico Tanigawa,Scénario & Dessin
36770,Jun Mochizuki,Scénario & Dessin
39700,Osamu Nishi,Scénario & Dessin
